item_link,item_link-href,item_name,item_image-src,item_total_price,item_recipe_price,item_stats,item_builds_from,item_builds_into,item_maps
"Atma's Impaler
					
						 2300 / 780","http://www.mobafire.com/league-of-legends/item/atmas-impaler-36","Atma's Impaler","http://www.mobafire.com/images/item/atmas-impaler.gif","2300","780","45 Armor, 15% Critical Strike Chance. UNIQUE Passive: Gain Attack Damage equal to 1.5% of your maximum Health.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/chain-vest.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Regrowth Pendant
					
						 435 / 435","http://www.mobafire.com/league-of-legends/item/regrowth-pendant-5","Regrowth Pendant","","435","435","15% Base Health Regeneration.","[]","[]","[{""item_maps"":""Removed""}]"
"Berserker's Greaves - Distortion
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/berserkers-greaves-distortion-201","Berserker's Greaves - Distortion","http://www.mobafire.com/images/item/berserkers-greaves-distortion.gif","1550","450","30% Attack Speed. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Distortion: Teleport, Flash, and Ghost summoner spell cooldowns are reduced by 15% and are granted additional mobility:



Ghost: Grants 40% Movement Speed from 27%.

Flash: 20% Movement Speed bonus for 1 second after cast.

Teleport: 30% Movement Speed bonus for 3 seconds after use.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/berserkers-greaves.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Null-Magic Mantle
					
						 450 / 450","http://www.mobafire.com/league-of-legends/item/null-magic-mantle-14","Null-Magic Mantle","","450","450","25 Magic Resistance.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/negatron-cloak.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/chalice-of-harmony.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/aegis-of-the-legion.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/mercurys-treads.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/quicksilver-sash.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/hexdrinker.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/spectres-cowl.gif""}]","[]"
"Spirit of the Ancient Golem
					
						 2000 / 450","http://www.mobafire.com/league-of-legends/item/spirit-of-the-ancient-golem-165","Spirit of the Ancient Golem","http://www.mobafire.com/images/item/spirit-of-the-ancient-golem.gif","2000","450","20 Armor, 10% Cooldown Reduction, 200 Health, 25 Health Multiplier. Passive: Sapping Barbs - Attacking monsters lose 5% of their maximum Health over 3 seconds (up to 195). Wearer gains +60 health regeneration per 5 seconds and +45 mana regeneration per 5 seconds when in combat with monsters. Active: Hunter's Ward - Places a Stealth Ward that reveals the surrounding area for 180 seconds (180 second cooldown)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/kindlegem.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Chain Vest
					
						 800 / 500","http://www.mobafire.com/league-of-legends/item/chain-vest-13","Chain Vest","http://www.mobafire.com/images/item/chain-vest.gif","800","500","40 Armor.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/cloth-armor.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/guardian-angel.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/sunfire-cape.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/thornmail.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/raptor-cloak.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/dead-mans-plate.gif""}]","[]"
"Catalyst of Aeons
					
						 1100 / 350","http://www.mobafire.com/league-of-legends/item/catalyst-of-aeons-39","Catalyst of Aeons","http://www.mobafire.com/images/item/catalyst-of-aeons.gif","1100","350","225 Health, 300 Mana. UNIQUE Passive: 15% of damage taken from champions is gained as Mana. Spending Mana restores 20% of Mana spent as Health, up to 15 per cast (toggle spells heal for up to 15 per second).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sapphire-crystal.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ruby-crystal.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/rod-of-ages.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/righteous-glory.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/hextech-glp-800.gif""}]","[]"
"Morello's Evil Tome
					
						 2200 / 435","http://www.mobafire.com/league-of-legends/item/morellos-evil-tome-116","Morello's Evil Tome","","2200","435","75 Ability Power, 20% Cooldown Reduction, 12% Base Mana Regeneration. UNIQUE Passive: Dealing magic damage to an enemy champion below 40% health inflicts Grievous Wounds to them for 4 seconds. Grievous Wounds reduces incoming healing and regeneration effects by 50%.



(Item is unavailable for purchase)","[]","[]","[{""item_maps"":""Removed""}]"
"Mercury's Treads - Furor
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/mercurys-treads-furor-215","Mercury's Treads - Furor","http://www.mobafire.com/images/item/mercurys-treads-furor.gif","1550","450","25 Magic Resistance. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Tenacity: Reduces the duration of stuns, slows, taunts, fears, silences, blinds, and immobilizes by 30%.



UNIQUE Passive: Furor: Upon dealing damage with a single target spell or attack (on hit), grants +12% Movement Speed that decays over 2 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/mercurys-treads.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Avarice Blade
					
						 800 / 400","http://www.mobafire.com/league-of-legends/item/avarice-blade-69","Avarice Blade","http://www.mobafire.com/images/item/avarice-blade.gif","800","400","10% Critical Strike Chance. UNIQUE Passive: Avarice: Gain an additional 3 gold every 10 seconds.



Greed: Gain an additional 2 gold every kill.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/brawlers-gloves.gif""}]","[]","[{""item_maps"":""Removed""}]"
